timestamp,P2
59:29.1,22.4
04:29.0,19.33
09:28.1,16.93
14:27.3,15.93
19:27.1,15.87
24:26.3,14.27
29:26.4,14.2
34:26.8,14.03
39:27.1,15.9
44:27.7,16.47
49:26.7,14.83
54:25.1,14.87
59:25.3,13.5
04:25.3,11.63
09:26.1,10.47
14:25.4,10.9
19:25.4,10.9
24:24.5,9.6
29:24.6,10.93
34:24.5,14.5
39:23.0,12.57
44:23.1,10.77
49:23.8,8.73
54:24.8,9.73
59:30.6,8.27
04:53.7,9.53
09:59.6,8.67
14:58.8,6.7
19:59.5,7.4
24:59.6,6.2
29:58.6,5.47
34:57.6,6.23
39:57.5,4.93
44:56.5,4.3
49:55.7,5.07
54:55.4,4.63
59:54.4,4.8
04:53.4,5.07
09:51.8,4.43
14:50.8,3.63
19:49.9,4.3
24:49.0,4.53
29:48.0,4.53
34:47.1,4.37
39:46.2,3.7
44:45.2,3.9
49:44.2,4
54:44.1,3.33
59:43.2,3.6
04:42.2,4.97
09:42.1,4.8
14:41.1,4.5
19:40.1,4.8
24:39.2,10.37
29:39.2,8.2
34:38.3,8.17
39:37.3,5
44:36.3,4.87
49:36.1,4.37
54:35.3,4.1
59:34.3,4.53
04:33.3,5.63
09:32.3,7.9
14:31.3,6.37
19:30.4,5.17
24:29.5,4.57
29:28.6,5.4
34:27.6,6.4
39:26.7,7.7
44:25.7,7.73
49:24.7,7.1
54:23.8,5.63
59:22.9,6.73
04:23.5,6.63
09:24.0,5.43
14:23.4,6.73
19:23.2,6.77
24:23.0,9.03
29:21.9,10.53
34:20.9,8.93
39:21.3,8.23
44:20.3,8.93
49:20.2,8.63
54:19.5,8.03
59:19.3,8
04:19.0,8.67
09:18.3,12.07
14:17.3,10.27
19:16.4,8.93
24:15.4,8.2
29:14.5,8.93
34:13.6,9.3
39:12.7,8.37
44:12.5,7.9
49:11.7,8.3
54:11.4,9.07
59:10.5,9.3
04:09.5,9.13
09:08.5,9.13
14:07.5,10.7
19:06.6,8.8
24:05.7,10.17
29:04.7,10.83
34:03.8,11.87
39:03.0,13.27
44:02.2,12.63
49:02.0,23
54:01.6,23.17
59:02.7,18.87
04:03.6,17.07
09:02.2,18.77
14:01.6,14.3
19:00.6,17.63
23:58.8,20.2
28:57.9,14.6
33:57.0,13.27
38:56.0,12.57
43:54.9,11.77
48:55.6,9.97
53:57.0,15
58:56.5,11.53
03:55.6,12.23
08:55.4,11.77
13:54.5,10.73
18:55.1,13.07
23:54.2,9
28:54.4,8.6
33:54.6,7.77
38:58.1,7.7
43:59.0,7.6
48:58.7,8.6
54:00.1,7.83
59:00.3,9.2
03:59.4,8.5
08:58.5,6.73
13:58.7,6.9
18:59.1,7.07
23:59.1,9.17
28:59.0,11.2
33:58.1,8.07
38:57.3,8.9
43:58.1,6.53
48:58.8,5.5
54:00.5,5.95
59:00.7,6.43
04:01.2,5.5
09:01.4,7.3
14:01.6,5.82
19:01.8,6.22
24:01.8,4.57
29:01.9,4.35
34:01.7,3.72
39:01.5,4.82
44:01.8,5.28
49:01.0,4.78
54:00.1,5.35
58:59.9,4.3
04:00.3,4.62
08:59.5,5.15
13:58.6,4.45
18:57.6,4.22
26:42.2,5.07
31:42.0,10.02
36:41.9,10.43
41:40.6,6.6
46:40.3,10.77
51:39.4,14.18
56:39.2,18.48
01:40.2,19.2
06:39.4,17.02
11:38.5,14.48
16:36.7,13.2
21:36.9,11.8
26:36.2,12.18
31:34.7,10.05
36:33.9,8.13
41:31.9,7.3
46:32.1,8.52
51:31.7,7.57
56:31.8,9.73
01:31.0,7.7
07:00.3,10.65
11:59.7,9.43
16:59.0,12.55
21:58.3,7.28
26:58.3,8.38
32:00.1,9.02
36:59.2,9.4
41:58.7,13
46:58.5,6.6
51:58.0,6.68
56:57.0,7.07
01:56.8,13.77
06:57.5,29.02
11:57.0,20.9
17:04.0,8.85
22:17.9,7.47
27:17.6,12.6
32:16.6,6.4
37:15.0,13.73
42:14.1,17.92
47:12.3,12.2
52:11.7,28.4
57:10.9,23.67
02:10.7,10.07
07:09.8,7.87
12:10.0,6.47
17:09.7,5.15
22:09.8,5.75
27:09.6,7.12
32:09.5,16.85
37:08.6,6.35
42:07.6,6.6
47:06.8,6.12
52:07.6,10.7
57:06.7,12.77
02:05.9,7.68
07:06.8,6.6
12:06.2,5.53
17:06.1,5.7
22:05.2,5.43
27:04.2,6.4
32:05.5,5.95
37:08.5,8.68
42:09.9,10.7
47:09.1,8.23
52:08.4,8.63
57:15.8,7.75
02:16.9,6.03
07:17.0,7.3
12:16.8,8.73
17:16.7,7.1
22:15.7,6.2
27:16.0,6.97
32:15.4,4.82
37:16.3,6.45
42:14.6,5.32
47:13.6,5.9
52:14.7,5.28
57:14.6,7.05
02:14.1,6.32
07:15.4,11.43
12:15.7,14.1
17:15.5,9.27
22:14.7,7.05
27:13.9,11.9
32:13.3,9.63
37:13.8,12.55
42:13.7,9.57
47:13.1,7.62
52:12.4,6.2
57:12.0,8.57
02:11.2,8.2
07:10.5,6.9
12:09.6,7.78
17:07.9,8.5
22:08.6,7.65
27:06.9,9.95
32:06.6,7.7
37:06.5,6.57
42:06.8,9.05
47:06.6,10.98
52:06.5,10.75
57:05.9,19.08
04:47.4,11.18
09:47.2,9.6
14:47.1,7.85
19:46.4,9.8
24:46.7,11.7
29:46.5,11.07
34:45.9,8.82
39:44.4,8.8
44:43.5,8.93
49:43.3,7.9
54:43.0,7.47
59:42.4,7.35
04:41.5,8
09:40.6,10.15
14:40.2,13.38
19:39.5,15.35
24:39.4,12.65
29:39.5,14.48
34:39.8,13.27
39:40.7,10.35
44:40.8,8.8
49:39.8,8.88
54:40.4,9.7
59:40.2,17.7
04:40.8,18.3
09:39.9,16.12
14:39.1,10.25
19:38.4,9.88
24:39.3,8.23
29:39.2,8.2
34:38.3,8
39:40.4,7.47
44:39.9,7.8
49:39.5,15.1
54:38.6,13.15
59:38.2,13.52
04:37.9,14.43
09:37.1,16.4
14:37.9,13.63
19:37.1,10.27
24:36.3,11.2
29:35.6,9.02
34:35.2,7.75
39:34.9,6.65
44:34.8,7.3
49:33.9,8.2
54:33.9,7.6
59:34.0,6
04:34.3,7.87
09:36.2,7.47
14:42.6,6.17
19:45.9,6.47
24:45.2,6.03
29:54.9,4.73
34:55.9,5.5
39:55.2,5.4
44:55.2,7.07
49:55.0,4.83
54:54.9,5.33
59:54.1,5.8
04:53.3,5.7
09:52.6,8.23
14:51.2,8.1
